Interaction index,Player index,Opponent index,Repetition,Player name,Opponent name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
64,8,3,0,Win-Shift Lose-Stay: D,Cooperator,DCDC,16,10,4,4.0,2.5,1,False,2,2,0,2,0,0,1,0,0,2,0,0,0,0
65,3,8,1,Cooperator,Win-Shift Lose-Stay: D,CCCC,6,-10,4,1.5,-2.5,0,True,4,2,2,0,0,1,0,2,0,0,0,0,0,1
65,8,3,1,Win-Shift Lose-Stay: D,Cooperator,DCDC,16,10,4,4.0,2.5,1,False,2,2,0,2,0,0,1,0,0,2,0,0,0,0
66,3,9,0,Cooperator,Win-Stay Lose-Shift,CCCC,12,0,4,3.0,0.0,0,True,4,4,0,0,0,3,0,0,0,0,0,0,0,1
66,9,3,0,Win-Stay Lose-Shift,Cooperator,CCCC,12,0,4,3.0,0.0,0,True,4,4,0,0,0,3,0,0,0,0,0,0,0,1
67,3,9,1,Cooperator,Win-Stay Lose-Shift,CCCC,12,0,4,3.0,0.0,0,True,4,4,0,0,0,3,0,0,0,0,0,0,0,1
67,9,3,1,Win-Stay Lose-Shift,Cooperator,CCCC,12,0,4,3.0,0.0,0,True,4,4,0,0,0,3,0,0,0,0,0,0,0,1
68,4,4,0,Cycler DC,Cycler DC,DCDC,8,0,4,2.0,0.0,0,False,2,2,0,0,2,0,1,0,0,0,0,2,0,1
68,4,4,0,Cycler DC,Cycler DC,DCDC,8,0,4,2.0,0.0,0,False,2,2,0,0,2,0,1,0,0,0,0,2,0,1
69,4,4,1,Cycler DC,Cycler DC,DCDC,8,0,4,2.0,0.0,0,False,2,2,0,0,2,0,1,0,0,0,0,2,0,1
69,4,4,1,Cycler DC,Cycler DC,DCDC,8,0,4,2.0,0.0,0,False,2,2,0,0,2,0,1,0,0,0,0,2,0,1
70,4,5,0,Cycler DC,Defector,DCDC,2,-10,4,0.5,-2.5,0,False,2,0,2,0,2,0,0,0,1,0,0,2,0,1
70,5,4,0,Defector,Cycler DC,DDDD,12,10,4,3.0,2.5,1,False,0,0,0,2,2,0,0,0,0,0,1,0,2,0
71,4,5,1,Cycler DC,Defector,DCDC,2,-10,4,0.5,-2.5,0,False,2,0,2,0,2,0,0,0,1,0,0,2,0,1
71,5,4,1,Defector,Cycler DC,DDDD,12,10,4,3.0,2.5,1,False,0,0,0,2,2,0,0,0,0,0,1,0,2,0
72,4,6,0,Cycler DC,Suspicious Tit For Tat,DCDC,6,-5,4,1.5,-1.25,0,False,2,0,2,1,1,0,0,0,1,1,0,1,0,1
72,6,4,0,Suspicious Tit For Tat,Cycler DC,DDCD,11,5,4,2.75,1.25,1,False,1,0,1,2,1,0,0,0,1,1,0,0,1,0
73,4,6,1,Cycler DC,Suspicious Tit For Tat,DCDC,6,-5,4,1.5,-1.25,0,False,2,0,2,1,1,0,0,0,1,1,0,1,0,1
73,6,4,1,Suspicious Tit For Tat,Cycler DC,DDCD,11,5,4,2.75,1.25,1,False,1,0,1,2,1,0,0,0,1,1,0,0,1,0
74,4,7,0,Cycler DC,Tit For Tat,DCDC,10,0,4,2.5,0.0,0,False,2,0,2,2,0,0,0,0,1,2,0,0,0,1
74,7,4,0,Tit For Tat,Cycler DC,CDCD,10,0,4,2.5,0.0,0,True,2,0,2,2,0,0,0,0,2,1,0,0,0,1
75,4,7,1,Cycler DC,Tit For Tat,DCDC,10,0,4,2.5,0.0,0,False,2,0,2,2,0,0,0,0,1,2,0,0,0,1
75,7,4,1,Tit For Tat,Cycler DC,CDCD,10,0,4,2.5,0.0,0,True,2,0,2,2,0,0,0,0,2,1,0,0,0,1
76,4,8,0,Cycler DC,Win-Shift Lose-Stay: D,DCDC,9,0,4,2.25,0.0,0,False,2,1,1,1,1,0,0,0,1,1,0,1,0,1
76,8,4,0,Win-Shift Lose-Stay: D,Cycler DC,DDCC,9,0,4,2.25,0.0,0,False,2,1,1,1,1,0,0,1,0,1,0,0,1,1
77,4,8,1,Cycler DC,Win-Shift Lose-Stay: D,DCDC,9,0,4,2.25,0.0,0,False,2,1,1,1,1,0,0,0,1,1,0,1,0,1
77,8,4,1,Win-Shift Lose-Stay: D,Cycler DC,DDCC,9,0,4,2.25,0.0,0,False,2,1,1,1,1,0,0,1,0,1,0,0,1,1
78,4,9,0,Cycler DC,Win-Stay Lose-Shift,DCDC,9,0,4,2.25,0.0,0,False,2,1,1,1,1,0,0,0,1,1,0,1,0,1
78,9,4,0,Win-Stay Lose-Shift,Cycler DC,CDDC,9,0,4,2.25,0.0,0,True,2,1,1,1,1,0,0,0,1,0,1,1,0,1
79,4,9,1,Cycler DC,Win-Stay Lose-Shift,DCDC,9,0,4,2.25,0.0,0,False,2,1,1,1,1,0,0,0,1,1,0,1,0,1
79,9,4,1,Win-Stay Lose-Shift,Cycler DC,CDDC,9,0,4,2.25,0.0,0,True,2,1,1,1,1,0,0,0,1,0,1,1,0,1
80,5,5,0,Defector,Defector,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
80,5,5,0,Defector,Defector,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
81,5,5,1,Defector,Defector,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
81,5,5,1,Defector,Defector,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
82,5,6,0,Defector,Suspicious Tit For Tat,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
82,6,5,0,Suspicious Tit For Tat,Defector,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
83,5,6,1,Defector,Suspicious Tit For Tat,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
83,6,5,1,Suspicious Tit For Tat,Defector,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
84,5,7,0,Defector,Tit For Tat,DDDD,8,5,4,2.0,1.25,1,False,0,0,0,1,3,0,0,0,0,0,1,0,2,0
84,7,5,0,Tit For Tat,Defector,CDDD,3,-5,4,0.75,-1.25,0,True,1,0,1,0,3,0,0,0,1,0,0,0,2,1
85,5,7,1,Defector,Tit For Tat,DDDD,8,5,4,2.0,1.25,1,False,0,0,0,1,3,0,0,0,0,0,1,0,2,0
85,7,5,1,Tit For Tat,Defector,CDDD,3,-5,4,0.75,-1.25,0,True,1,0,1,0,3,0,0,0,1,0,0,0,2,1
86,5,8,0,Defector,Win-Shift Lose-Stay: D,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
86,8,5,0,Win-Shift Lose-Stay: D,Defector,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
87,5,8,1,Defector,Win-Shift Lose-Stay: D,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
87,8,5,1,Win-Shift Lose-Stay: D,Defector,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
88,5,9,0,Defector,Win-Stay Lose-Shift,DDDD,12,10,4,3.0,2.5,1,False,0,0,0,2,2,0,0,0,0,0,2,0,1,0
88,9,5,0,Win-Stay Lose-Shift,Defector,CDCD,2,-10,4,0.5,-2.5,0,True,2,0,2,0,2,0,0,0,2,0,0,1,0,1
89,5,9,1,Defector,Win-Stay Lose-Shift,DDDD,12,10,4,3.0,2.5,1,False,0,0,0,2,2,0,0,0,0,0,2,0,1,0
89,9,5,1,Win-Stay Lose-Shift,Defector,CDCD,2,-10,4,0.5,-2.5,0,True,2,0,2,0,2,0,0,0,2,0,0,1,0,1
90,6,6,0,Suspicious Tit For Tat,Suspicious Tit For Tat,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
90,6,6,0,Suspicious Tit For Tat,Suspicious Tit For Tat,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
91,6,6,1,Suspicious Tit For Tat,Suspicious Tit For Tat,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
91,6,6,1,Suspicious Tit For Tat,Suspicious Tit For Tat,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
92,6,7,0,Suspicious Tit For Tat,Tit For Tat,DCDC,10,0,4,2.5,0.0,0,False,2,0,2,2,0,0,0,0,1,2,0,0,0,1
92,7,6,0,Tit For Tat,Suspicious Tit For Tat,CDCD,10,0,4,2.5,0.0,0,True,2,0,2,2,0,0,0,0,2,1,0,0,0,1
93,6,7,1,Suspicious Tit For Tat,Tit For Tat,DCDC,10,0,4,2.5,0.0,0,False,2,0,2,2,0,0,0,0,1,2,0,0,0,1
93,7,6,1,Tit For Tat,Suspicious Tit For Tat,CDCD,10,0,4,2.5,0.0,0,True,2,0,2,2,0,0,0,0,2,1,0,0,0,1
94,6,8,0,Suspicious Tit For Tat,Win-Shift Lose-Stay: D,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
94,8,6,0,Win-Shift Lose-Stay: D,Suspicious Tit For Tat,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
95,6,8,1,Suspicious Tit For Tat,Win-Shift Lose-Stay: D,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
95,8,6,1,Win-Shift Lose-Stay: D,Suspicious Tit For Tat,DDDD,4,0,4,1.0,0.0,0,False,0,0,0,0,4,0,0,0,0,0,0,0,3,1
96,6,9,0,Suspicious Tit For Tat,Win-Stay Lose-Shift,DCDD,11,5,4,2.75,1.25,1,False,1,0,1,2,1,0,0,0,1,1,0,0,1,0
96,9,6,0,Win-Stay Lose-Shift,Suspicious Tit For Tat,CDDC,6,-5,4,1.5,-1.25,0,True,2,0,2,1,1,0,0,0,1,0,1,1,0,1
97,6,9,1,Suspicious Tit For Tat,Win-Stay Lose-Shift,DCDD,11,5,4,2.75,1.25,1,False,1,0,1,2,1,0,0,0,1,1,0,0,1,0
97,9,6,1,Win-Stay Lose-Shift,Suspicious Tit For Tat,CDDC,6,-5,4,1.5,-1.25,0,True,2,0,2,1,1,0,0,0,1,0,1,1,0,1
98,7,7,0,Tit For Tat,Tit For Tat,CCCC,12,0,4,3.0,0.0,0,True,4,4,0,0,0,3,0,0,0,0,0,0,0,1
98,7,7,0,Tit For Tat,Tit For Tat,CCCC,12,0,4,3.0,0.0,0,True,4,4,0,0,0,3,0,0,0,0,0,0,0,1
99,7,7,1,Tit For Tat,Tit For Tat,CCCC,12,0,4,3.0,0.0,0,True,4,4,0,0,0,3,0,0,0,0,0,0,0,1
99,7,7,1,Tit For Tat,Tit For Tat,CCCC,12,0,4,3.0,0.0,0,True,4,4,0,0,0,3,0,0,0,0,0,0,0,1
100,7,8,0,Tit For Tat,Win-Shift Lose-Stay: D,CDCC,8,-5,4,2.0,-1.25,0,True,3,1,2,1,0,1,0,0,1,1,0,0,0,1
